video_id,generator,vlm,strategy,target_letter,recognized_as,recog_correct,handshape_score,sign_quality,prompt_following,notes
Kling_gemini_schema_constrained_V,Kling,gemini,schema_constrained,V,none,0,1,5,3,
Kling_gemini_few_shot_A,Kling,gemini,few_shot,A,none,0,3,5,4,
Kling_gemini_few_shot_B,Kling,gemini,few_shot,B,none,0,3,5,2,
Kling_gemini_few_shot_C,Kling,gemini,few_shot,C,none,0,1,5,2,
Kling_gemini_few_shot_O,Kling,gemini,few_shot,O,none,0,1,5,5,
Kling_gemini_few_shot_V,Kling,gemini,few_shot,V,none,0,3,5,2,
Kling_llama_zero_shot_A,Kling,llama,zero_shot,A,none,0,3,4,2,It looks like G
Kling_llama_zero_shot_B,Kling,llama,zero_shot,B,none,0,2,4,1,
Kling_llama_zero_shot_C,Kling,llama,zero_shot,C,none,0,1,4,2,
Kling_llama_zero_shot_O,Kling,llama,zero_shot,O,A,0,4,5,4,
Kling_llama_zero_shot_V,Kling,llama,zero_shot,V,none,0,4,3,2,
Kling_llama_role_prompted_A,Kling,llama,role_prompted,A,B,0,2,4,3,
Kling_llama_role_prompted_B,Kling,llama,role_prompted,B,none,0,1,5,4,
Kling_llama_role_prompted_C,Kling,llama,role_prompted,C,A,0,2,5,2,
Kling_llama_role_prompted_O,Kling,llama,role_prompted,O,none,0,2,5,2,
Kling_llama_role_prompted_V,Kling,llama,role_prompted,V,none,0,2,5,2,
Kling_llama_chain_of_thought_A,Kling,llama,chain_of_thought,A,none,0,2,5,3,
Kling_llama_chain_of_thought_B,Kling,llama,chain_of_thought,B,none,0,2,5,3,
Kling_llama_chain_of_thought_C,Kling,llama,chain_of_thought,C,C,1,3,5,4,
Kling_llama_chain_of_thought_O,Kling,llama,chain_of_thought,O,none,0,1,5,3,
Kling_llama_chain_of_thought_V,Kling,llama,chain_of_thought,V,none,0,2,4,4,"looks like ""K"""
Kling_llama_schema_constrained_A,Kling,llama,schema_constrained,A,A,1,4,5,5,
Kling_llama_schema_constrained_B,Kling,llama,schema_constrained,B,none,0,1,5,2,
Kling_llama_schema_constrained_C,Kling,llama,schema_constrained,C,none,0,2,4,4,
Kling_llama_schema_constrained_O,Kling,llama,schema_constrained,O,none,0,1,4,1,
Kling_llama_schema_constrained_V,Kling,llama,schema_constrained,V,none,0,1,4,2,
Kling_llama_few_shot_A,Kling,llama,few_shot,A,A,1,5,5,5,
Kling_llama_few_shot_B,Kling,llama,few_shot,B,B,1,3,5,5,
Kling_llama_few_shot_C,Kling,llama,few_shot,C,none,0,2,5,5,
Kling_llama_few_shot_O,Kling,llama,few_shot,O,none,0,1,5,4,Looks like G
Kling_llama_few_shot_V,Kling,llama,few_shot,V,V,1,4,5,5,
Kling_qwen_zero_shot_A,Kling,qwen,zero_shot,A,none,0,2,3,3,It repeats 2 times
Kling_qwen_zero_shot_B,Kling,qwen,zero_shot,B,none,0,1,5,2,
Kling_qwen_zero_shot_C,Kling,qwen,zero_shot,C,A,0,1,5,4,
Kling_qwen_zero_shot_O,Kling,qwen,zero_shot,O,A,0,1,5,1,
Kling_qwen_zero_shot_V,Kling,qwen,zero_shot,V,none,0,3,5,3,
Kling_qwen_role_prompted_A,Kling,qwen,role_prompted,A,A,1,5,5,4,
Kling_qwen_role_prompted_B,Kling,qwen,role_prompted,B,A,0,1,5,1,
Kling_qwen_role_prompted_C,Kling,qwen,role_prompted,C,B,0,1,5,4,
Kling_qwen_role_prompted_O,Kling,qwen,role_prompted,O,none,0,4,5,2,
Kling_qwen_role_prompted_V,Kling,qwen,role_prompted,V,V,1,5,5,5,
Kling_qwen_chain_of_thought_A,Kling,qwen,chain_of_thought,A,none,0,1,5,1,
Kling_qwen_chain_of_thought_B,Kling,qwen,chain_of_thought,B,B,1,5,5,5,
Kling_qwen_chain_of_thought_C,Kling,qwen,chain_of_thought,C,none,0,1,5,4,
Kling_qwen_chain_of_thought_O,Kling,qwen,chain_of_thought,O,A,0,1,5,4,
Kling_qwen_chain_of_thought_V,Kling,qwen,chain_of_thought,V,none,0,1,5,2,
Kling_qwen_schema_constrained_A,Kling,qwen,schema_constrained,A,A,1,5,5,4,
Kling_qwen_schema_constrained_B,Kling,qwen,schema_constrained,B,A,0,1,5,1,
Kling_qwen_schema_constrained_C,Kling,qwen,schema_constrained,C,none,0,1,5,5,
Kling_qwen_schema_constrained_O,Kling,qwen,schema_constrained,O,none,0,2,5,3,
Kling_qwen_schema_constrained_V,Kling,qwen,schema_constrained,V,none,0,3,5,2,
Kling_qwen_few_shot_A,Kling,qwen,few_shot,A,A,1,3,5,5,
Kling_qwen_few_shot_B,Kling,qwen,few_shot,B,none,0,1,5,2,
Kling_qwen_few_shot_C,Kling,qwen,few_shot,C,none,0,1,5,1,
Kling_qwen_few_shot_O,Kling,qwen,few_shot,O,A,0,2,5,5,
Kling_qwen_few_shot_V,Kling,qwen,few_shot,V,none,0,1,5,2,
Seedance_openai_zero_shot_A,Seedance,openai,zero_shot,A,none,0,1,5,3,
Seedance_openai_zero_shot_B,Seedance,openai,zero_shot,B,V,0,1,5,2,
Seedance_openai_zero_shot_C,Seedance,openai,zero_shot,C,none,0,1,5,2,
Seedance_openai_zero_shot_O,Seedance,openai,zero_shot,O,A,0,1,5,3,
Seedance_openai_zero_shot_V,Seedance,openai,zero_shot,V,none,0,1,5,2,
Seedance_openai_role_prompted_A,Seedance,openai,role_prompted,A,none,0,4,2,3,"Extra fingers
"
Seedance_openai_role_prompted_B,Seedance,openai,role_prompted,B,V,0,1,5,2,
Seedance_openai_role_prompted_C,Seedance,openai,role_prompted,C,none,0,1,5,2,
Seedance_openai_role_prompted_O,Seedance,openai,role_prompted,O,none,0,1,5,2,
Seedance_openai_role_prompted_V,Seedance,openai,role_prompted,V,none,0,3,5,4,
Seedance_openai_chain_of_thought_A,Seedance,openai,chain_of_thought,A,A,1,4,5,4,
Seedance_openai_chain_of_thought_B,Seedance,openai,chain_of_thought,B,V,0,1,3,2,
Seedance_openai_chain_of_thought_C,Seedance,openai,chain_of_thought,C,none,0,1,5,3,
Seedance_openai_chain_of_thought_O,Seedance,openai,chain_of_thought,O,A,0,1,5,4,
Seedance_openai_chain_of_thought_V,Seedance,openai,chain_of_thought,V,V,1,4,5,5,
Seedance_openai_schema_constrained_A,Seedance,openai,schema_constrained,A,none,0,2,5,4,
Seedance_openai_schema_constrained_B,Seedance,openai,schema_constrained,B,none,0,1,5,3,
Seedance_openai_schema_constrained_C,Seedance,openai,schema_constrained,C,none,0,1,5,5,
Seedance_openai_schema_constrained_O,Seedance,openai,schema_constrained,O,none,0,1,5,5,
Seedance_openai_schema_constrained_V,Seedance,openai,schema_constrained,V,none,0,1,5,2,
Seedance_openai_few_shot_A,Seedance,openai,few_shot,A,none,0,2,5,2,
Seedance_openai_few_shot_B,Seedance,openai,few_shot,B,none,0,2,5,3,
Seedance_openai_few_shot_C,Seedance,openai,few_shot,C,none,0,1,5,3,
Seedance_openai_few_shot_O,Seedance,openai,few_shot,O,none,0,2,5,4,
Seedance_openai_few_shot_V,Seedance,openai,few_shot,V,none,0,3,5,3,
Seedance_claude_zero_shot_A,Seedance,claude,zero_shot,A,none,0,1,5,1,
Seedance_claude_zero_shot_B,Seedance,claude,zero_shot,B,none,0,1,5,3,
Seedance_claude_zero_shot_C,Seedance,claude,zero_shot,C,none,0,3,5,5,
Seedance_claude_zero_shot_O,Seedance,claude,zero_shot,O,A,0,1,5,5,
Seedance_claude_zero_shot_V,Seedance,claude,zero_shot,V,V,1,5,5,5,
Seedance_claude_role_prompted_A,Seedance,claude,role_prompted,A,none,0,3,5,3,
Seedance_claude_role_prompted_B,Seedance,claude,role_prompted,B,V,0,1,5,2,
Seedance_claude_role_prompted_C,Seedance,claude,role_prompted,C,none,0,1,5,2,
Seedance_claude_role_prompted_O,Seedance,claude,role_prompted,O,A,0,1,5,1,
Seedance_claude_role_prompted_V,Seedance,claude,role_prompted,V,V,1,4,5,4,
Seedance_claude_chain_of_thought_A,Seedance,claude,chain_of_thought,A,none,0,1,2,1,
Seedance_claude_chain_of_thought_B,Seedance,claude,chain_of_thought,B,none,0,3,2,5,
Seedance_claude_chain_of_thought_C,Seedance,claude,chain_of_thought,C,V,0,1,2,4,
Seedance_claude_chain_of_thought_O,Seedance,claude,chain_of_thought,O,V,0,1,5,3,
Seedance_claude_chain_of_thought_V,Seedance,claude,chain_of_thought,V,none,0,2,5,3,
Seedance_claude_schema_constrained_A,Seedance,claude,schema_constrained,A,none,0,1,5,2,
Seedance_claude_schema_constrained_B,Seedance,claude,schema_constrained,B,none,0,1,5,4,
Seedance_claude_schema_constrained_C,Seedance,claude,schema_constrained,C,none,0,1,5,2,
Seedance_claude_schema_constrained_O,Seedance,claude,schema_constrained,O,A,0,2,5,4,
Seedance_claude_schema_constrained_V,Seedance,claude,schema_constrained,V,none,0,1,5,1,
Seedance_claude_few_shot_A,Seedance,claude,few_shot,A,B,0,1,5,5,
Seedance_claude_few_shot_B,Seedance,claude,few_shot,B,none,0,1,5,1,
Seedance_claude_few_shot_C,Seedance,claude,few_shot,C,none,0,1,5,1,
Seedance_claude_few_shot_O,Seedance,claude,few_shot,O,none,0,1,4,5,
Seedance_claude_few_shot_V,Seedance,claude,few_shot,V,none,0,1,5,2,
Seedance_gemini_zero_shot_A,Seedance,gemini,zero_shot,A,A,1,5,5,5,
Seedance_gemini_zero_shot_B,Seedance,gemini,zero_shot,B,V,0,1,5,2,
Seedance_gemini_zero_shot_C,Seedance,gemini,zero_shot,C,none,0,1,4,3,
Seedance_gemini_zero_shot_O,Seedance,gemini,zero_shot,O,none,0,1,5,5,
Seedance_gemini_zero_shot_V,Seedance,gemini,zero_shot,V,V,1,4,5,4,
Seedance_gemini_role_prompted_A,Seedance,gemini,role_prompted,A,none,0,1,5,2,
Seedance_gemini_role_prompted_B,Seedance,gemini,role_prompted,B,V,0,1,5,3,
Seedance_gemini_role_prompted_C,Seedance,gemini,role_prompted,C,none,0,1,5,3,
Seedance_gemini_role_prompted_O,Seedance,gemini,role_prompted,O,none,0,1,5,2,
Seedance_gemini_role_prompted_V,Seedance,gemini,role_prompted,V,none,0,3,5,3,
Seedance_gemini_chain_of_thought_A,Seedance,gemini,chain_of_thought,A,O,0,1,5,3,looks like O
Seedance_gemini_chain_of_thought_B,Seedance,gemini,chain_of_thought,B,A,0,1,5,2,
Seedance_gemini_chain_of_thought_C,Seedance,gemini,chain_of_thought,C,none,0,1,5,5,
Seedance_gemini_chain_of_thought_O,Seedance,gemini,chain_of_thought,O,none,0,1,4,5,
Seedance_gemini_chain_of_thought_V,Seedance,gemini,chain_of_thought,V,none,0,2,4,3,
Seedance_gemini_schema_constrained_A,Seedance,gemini,schema_constrained,A,A,1,4,5,4,
Seedance_gemini_schema_constrained_B,Seedance,gemini,schema_constrained,B,none,0,1,5,2,
Seedance_gemini_schema_constrained_C,Seedance,gemini,schema_constrained,C,none,0,1,5,4,
Seedance_gemini_schema_constrained_O,Seedance,gemini,schema_constrained,O,none,0,1,5,5,
Seedance_gemini_schema_constrained_V,Seedance,gemini,schema_constrained,V,none,0,3,5,4,
Seedance_gemini_few_shot_A,Seedance,gemini,few_shot,A,none,0,3,5,5,
Seedance_gemini_few_shot_B,Seedance,gemini,few_shot,B,V,0,1,5,3,
Seedance_gemini_few_shot_C,Seedance,gemini,few_shot,C,O,0,2,4,2,
Seedance_gemini_few_shot_O,Seedance,gemini,few_shot,O,none,0,1,5,5,
Seedance_gemini_few_shot_V,Seedance,gemini,few_shot,V,V,1,5,5,5,
Seedance_llama_zero_shot_A,Seedance,llama,zero_shot,A,none,0,1,5,5,
Seedance_llama_zero_shot_B,Seedance,llama,zero_shot,B,none,0,1,5,4,
Seedance_llama_zero_shot_C,Seedance,llama,zero_shot,C,none,0,1,5,1,
Seedance_llama_zero_shot_O,Seedance,llama,zero_shot,O,none,0,2,5,1,
Seedance_llama_zero_shot_V,Seedance,llama,zero_shot,V,A,0,1,5,2,
Seedance_llama_role_prompted_A,Seedance,llama,role_prompted,A,none,0,3,5,5,
Seedance_llama_role_prompted_B,Seedance,llama,role_prompted,B,none,0,1,5,1,
Seedance_llama_role_prompted_C,Seedance,llama,role_prompted,C,none,0,1,5,1,
Seedance_llama_role_prompted_O,Seedance,llama,role_prompted,O,none,0,1,5,2,
Seedance_llama_role_prompted_V,Seedance,llama,role_prompted,V,none,0,1,5,2,
Seedance_llama_chain_of_thought_A,Seedance,llama,chain_of_thought,A,none,0,1,5,1,
Seedance_llama_chain_of_thought_B,Seedance,llama,chain_of_thought,B,V,0,1,5,5,
Seedance_llama_chain_of_thought_C,Seedance,llama,chain_of_thought,C,A,0,1,4,2,
Seedance_llama_chain_of_thought_O,Seedance,llama,chain_of_thought,O,none,0,2,5,4,
Seedance_llama_chain_of_thought_V,Seedance,llama,chain_of_thought,V,V,1,2,5,5,
Seedance_llama_schema_constrained_A,Seedance,llama,schema_constrained,A,A,1,4,5,4,
Seedance_llama_schema_constrained_B,Seedance,llama,schema_constrained,B,O,0,1,5,2,
Seedance_llama_schema_constrained_C,Seedance,llama,schema_constrained,C,none,0,1,5,5,
Seedance_llama_schema_constrained_O,Seedance,llama,schema_constrained,O,none,0,1,5,4,
Seedance_llama_schema_constrained_V,Seedance,llama,schema_constrained,V,V,1,4,5,5,
Seedance_llama_few_shot_A,Seedance,llama,few_shot,A,none,0,3,5,5,
Seedance_llama_few_shot_B,Seedance,llama,few_shot,B,V,0,1,5,2,
Seedance_llama_few_shot_C,Seedance,llama,few_shot,C,none,0,2,5,2,
Seedance_llama_few_shot_O,Seedance,llama,few_shot,O,none,0,1,5,4,
Seedance_llama_few_shot_V,Seedance,llama,few_shot,V,none,0,1,5,3,
Seedance_qwen_zero_shot_A,Seedance,qwen,zero_shot,A,none,0,3,5,5,
Seedance_qwen_zero_shot_B,Seedance,qwen,zero_shot,B,none,0,1,5,1,
Seedance_qwen_zero_shot_C,Seedance,qwen,zero_shot,C,none,0,1,4,4,
Seedance_qwen_zero_shot_O,Seedance,qwen,zero_shot,O,none,0,1,5,3,
Seedance_qwen_zero_shot_V,Seedance,qwen,zero_shot,V,V,1,4,5,5,
Seedance_qwen_role_prompted_A,Seedance,qwen,role_prompted,A,none,0,4,5,4,
Seedance_qwen_role_prompted_B,Seedance,qwen,role_prompted,B,none,0,1,5,2,
Seedance_qwen_role_prompted_C,Seedance,qwen,role_prompted,C,none,0,1,5,1,
Seedance_qwen_role_prompted_O,Seedance,qwen,role_prompted,O,none,0,1,5,1,
Seedance_qwen_role_prompted_V,Seedance,qwen,role_prompted,V,none,0,1,3,1,
Seedance_qwen_chain_of_thought_A,Seedance,qwen,chain_of_thought,A,none,0,1,5,1,
Seedance_qwen_chain_of_thought_B,Seedance,qwen,chain_of_thought,B,none,0,1,5,1,
Seedance_qwen_chain_of_thought_C,Seedance,qwen,chain_of_thought,C,none,0,1,5,4,
Seedance_qwen_chain_of_thought_O,Seedance,qwen,chain_of_thought,O,O,1,3,5,2,
Seedance_qwen_chain_of_thought_V,Seedance,qwen,chain_of_thought,V,none,0,1,4,2,
Seedance_qwen_schema_constrained_A,Seedance,qwen,schema_constrained,A,none,0,1,5,1,
Seedance_qwen_schema_constrained_B,Seedance,qwen,schema_constrained,B,V,0,1,5,2,
Seedance_qwen_schema_constrained_C,Seedance,qwen,schema_constrained,C,A,0,1,2,5,
Seedance_qwen_schema_constrained_O,Seedance,qwen,schema_constrained,O,none,0,1,5,4,
Seedance_qwen_schema_constrained_V,Seedance,qwen,schema_constrained,V,V,1,4,5,5,
Seedance_qwen_few_shot_A,Seedance,qwen,few_shot,A,A,1,5,5,5,
Seedance_qwen_few_shot_B,Seedance,qwen,few_shot,B,none,0,1,5,3,
Seedance_qwen_few_shot_C,Seedance,qwen,few_shot,C,none,0,1,4,3,
Seedance_qwen_few_shot_O,Seedance,qwen,few_shot,O,none,0,1,5,4,
Seedance_qwen_few_shot_V,Seedance,qwen,few_shot,V,none,0,2,5,3,
Veo_openai_zero_shot_A,Veo,openai,zero_shot,A,none,0,2,3,2,
Veo_openai_zero_shot_B,Veo,openai,zero_shot,B,B,1,3,3,3,Extra hand detected
Veo_openai_zero_shot_C,Veo,openai,zero_shot,C,none,0,1,4,3,
Veo_openai_zero_shot_O,Veo,openai,zero_shot,O,none,0,1,4,2,
Veo_openai_zero_shot_V,Veo,openai,zero_shot,V,V,1,5,3,5,
Veo_openai_role_prompted_A,Veo,openai,role_prompted,A,none,0,3,4,3,
Veo_openai_role_prompted_B,Veo,openai,role_prompted,B,none,0,1,1,2,extra thumbs
Veo_openai_role_prompted_C,Veo,openai,role_prompted,C,B,0,1,3,3,extra hands
Veo_openai_role_prompted_O,Veo,openai,role_prompted,O,none,0,1,4,4,
Veo_openai_role_prompted_V,Veo,openai,role_prompted,V,V,1,5,4,5,
Veo_openai_chain_of_thought_A,Veo,openai,chain_of_thought,A,none,0,1,3,1,
Veo_openai_chain_of_thought_B,Veo,openai,chain_of_thought,B,none,0,1,3,2,
Veo_openai_chain_of_thought_C,Veo,openai,chain_of_thought,C,V,0,2,2,2,
Veo_openai_chain_of_thought_O,Veo,openai,chain_of_thought,O,none,0,1,3,3,
Veo_openai_chain_of_thought_V,Veo,openai,chain_of_thought,V,none,0,1,5,3,
Veo_openai_schema_constrained_A,Veo,openai,schema_constrained,A,none,0,1,5,4,
Veo_openai_schema_constrained_B,Veo,openai,schema_constrained,B,none,0,2,2,3,extra hands
Veo_openai_schema_constrained_C,Veo,openai,schema_constrained,C,A,0,1,3,4,
Veo_openai_schema_constrained_O,Veo,openai,schema_constrained,O,none,0,1,4,3,
Veo_openai_schema_constrained_V,Veo,openai,schema_constrained,V,none,0,1,1,1,extra hands and disappearing fingers
Veo_openai_few_shot_A,Veo,openai,few_shot,A,none,0,1,3,2,
Veo_openai_few_shot_B,Veo,openai,few_shot,B,none,0,1,5,4,
Veo_openai_few_shot_C,Veo,openai,few_shot,C,none,0,1,4,4,
Veo_openai_few_shot_O,Veo,openai,few_shot,O,A,0,1,4,5,
Veo_openai_few_shot_V,Veo,openai,few_shot,V,V,1,4,4,4,
Veo_claude_zero_shot_A,Veo,claude,zero_shot,A,none,0,2,4,1,
Veo_claude_zero_shot_B,Veo,claude,zero_shot,B,none,0,1,5,1,
Veo_claude_zero_shot_C,Veo,claude,zero_shot,C,none,0,1,4,1,
Veo_claude_zero_shot_O,Veo,claude,zero_shot,O,none,0,2,5,5,
Veo_claude_zero_shot_V,Veo,claude,zero_shot,V,V,1,5,4,5,
Veo_claude_role_prompted_A,Veo,claude,role_prompted,A,none,0,3,4,2,
Veo_claude_role_prompted_B,Veo,claude,role_prompted,B,none,0,1,5,2,
Veo_claude_role_prompted_C,Veo,claude,role_prompted,C,V,0,1,5,4,
Veo_claude_role_prompted_O,Veo,claude,role_prompted,O,none,0,1,4,1,
Veo_claude_role_prompted_V,Veo,claude,role_prompted,V,none,0,1,4,2,
Veo_claude_chain_of_thought_A,Veo,claude,chain_of_thought,A,none,0,3,5,4,
Veo_claude_chain_of_thought_B,Veo,claude,chain_of_thought,B,none,0,1,3,4,
Veo_claude_chain_of_thought_C,Veo,claude,chain_of_thought,C,none,0,1,3,2,
Veo_claude_chain_of_thought_O,Veo,claude,chain_of_thought,O,none,0,1,4,2,
Veo_claude_chain_of_thought_V,Veo,claude,chain_of_thought,V,V,1,5,4,5,
Veo_claude_schema_constrained_A,Veo,claude,schema_constrained,A,none,0,1,4,1,
Veo_claude_schema_constrained_B,Veo,claude,schema_constrained,B,B,1,3,4,3,
Veo_claude_schema_constrained_C,Veo,claude,schema_constrained,C,none,0,1,4,4,
Veo_claude_schema_constrained_O,Veo,claude,schema_constrained,O,A,0,1,5,4,
Veo_claude_schema_constrained_V,Veo,claude,schema_constrained,V,none,0,1,5,2,
Veo_claude_few_shot_A,Veo,claude,few_shot,A,A,1,5,5,5,
Veo_claude_few_shot_B,Veo,claude,few_shot,B,none,0,2,4,2,
Veo_claude_few_shot_C,Veo,claude,few_shot,C,none,0,1,4,2,
Veo_claude_few_shot_O,Veo,claude,few_shot,O,none,0,1,5,4,
Veo_claude_few_shot_V,Veo,claude,few_shot,V,V,1,5,4,5,
Veo_gemini_zero_shot_A,Veo,gemini,zero_shot,A,none,0,3,4,4,
Veo_gemini_zero_shot_B,Veo,gemini,zero_shot,B,none,0,3,4,4,
Veo_gemini_zero_shot_C,Veo,gemini,zero_shot,C,none,0,1,5,2,
Veo_gemini_zero_shot_O,Veo,gemini,zero_shot,O,none,0,1,4,2,
Veo_gemini_zero_shot_V,Veo,gemini,zero_shot,V,V,1,5,4,4,
Veo_gemini_role_prompted_A,Veo,gemini,role_prompted,A,none,0,2,3,3,
Veo_gemini_role_prompted_B,Veo,gemini,role_prompted,B,B,1,4,3,3,correct sign but abnormal transition in the end
Veo_gemini_role_prompted_C,Veo,gemini,role_prompted,C,none,0,1,3,3,
Veo_gemini_role_prompted_O,Veo,gemini,role_prompted,O,none,0,1,4,2,
Veo_gemini_role_prompted_V,Veo,gemini,role_prompted,V,V,1,4,3,4,correct sign but abnormal transition in the end
Veo_gemini_chain_of_thought_A,Veo,gemini,chain_of_thought,A,none,0,3,3,3,
Veo_gemini_chain_of_thought_B,Veo,gemini,chain_of_thought,B,V,0,1,4,2,
Veo_gemini_chain_of_thought_C,Veo,gemini,chain_of_thought,C,none,0,1,2,3,
Veo_gemini_chain_of_thought_O,Veo,gemini,chain_of_thought,O,none,0,1,3,3,
Veo_gemini_chain_of_thought_V,Veo,gemini,chain_of_thought,V,none,0,1,3,2,
Veo_gemini_schema_constrained_A,Veo,gemini,schema_constrained,A,A,1,4,3,4,
